TABLE team
team.team_id,team.name,team.short_name,team.captain,team.coach,team.icon_file_name,team.profile,team.key_players
1,Brazil,BRA,0,Luiz Felipe Scolari,BRA.png,x,
2,Croatia,CRO,0,Niko Kovac,CRO.png,x,
3,Mexico,MEX,0,Miguel Herrera,MEX.png,x,
4,Cameroon,CMR,0,Volker Finke,CMR.png,x,
5,Spain,ESP,0,Vicente del Bosque,ESP.png,x,
6,Netherlands,NED,0,Louis Van Gaal,NED.png,x,
7,Chile,CHI,0,Jorge Sampaoli,CHI.png,x,
8,Australia,AUS,0,Ange Postecoglou,AUS.png,x,
9,Columbia,COL,0,Jose Pekerman,COL.png,x,
10,Greece,GRE,0,Fernando Santos,GRE.png,x,
11,Cote d Ivoire,CIV,0,Sabri Lamouchi,CIV.png,x,
12,Japan,JPN,0,Alberto Zaccheroni,JPN.png,x,
13,Uruguay,URU,0,Oscar Washington Tabarez,URU.png,x,
14,Costa Rica,CRC,0,Jorge Luis Pinto,CRC.png,x,
15,England,ENG,0,Roy Hodgson,ENG.png,x,
16,Italy,ITA,0,Cesare Prandelli,ITA.png,x,
17,Switzerland,SUI,0,Ottmar Hitzfeld,SUI.png,x,
18,Ecuador,ECU,0,Reinaldo Rueda,ECU.png,x,
19,France,FRA,0,Didier Deschamps,FRA.png,x,
20,Honduras,HON,0,Luis Fernando Suarez,HON.png,x,
21,Argentina,ARG,0,Alejandro Sabella,ARG.png,x,
22,Bosnia-Herzegovina,BIH,0,Safet Susic,BIH.png,x,
23,Iran,IRN,0,Carlos Queiroz,IRN.png,x,
24,Nigeria,NGA,0,Stephen Keshi,NGA.png,x,
25,Germany,GER,0,Joachim Low,GER.png,x,
26,Portugal,POR,0,Paulo Bento,POR.png,x,
27,Ghana,GHA,0,Kwesi Appiah,GHA.png,x,
28,USA,USA,0,Jurgen Klinsmann,USA.png,x,
29,Belgium,BEL,0,Marc Wilmots,BEL.png,x,
30,Algeria,ALG,0,Vahid Halilhodzic,ALG.png,x,
31,Russia,RUS,0,Fabio Capello,RUS.png,x,
32,Korea Republic,KOR,0,Hong Myungbo,KOR.png,x,

TABLE team_group
team_group.group_id,team_group.name,team_group.team_id
1,A,1
2,A,2
3,A,3
4,A,4
5,B,5
6,B,6
7,B,7
8,B,8
9,C,9
10,C,10
11,C,11
12,C,12
13,D,13
14,D,14
15,D,15
16,D,16
17,E,17
18,E,18
19,E,19
20,E,20
21,F,21
22,F,22
23,F,23
24,F,24
25,G,25
26,G,26
27,G,27
28,G,28
29,H,29
30,H,30
31,H,31
32,H,32,

TABLE stadium
stadium.stadium_id,stadium.name,stadium.city,stadium.capacity,stadium.profile,stadium.icon_file_name,stadium.location_coord
1,Estadio do Maracana,Rio de Janeiro,76935,"x","maracana.jpg","-22.9145495,-43.2298859"
2,Arena Corinthians,Sao Paulo,48234,"x","arena_corinthians.jpg","-23.526801,-46.56757849999997"
3,Mineirao,Belo Horizonte,62170,"x","mineirao.jpg","-19.8659724,-43.970345399999985"
4,Estadio Nacional de Brasilia,Brasilia,70064,"x","estadio_nacional_de_brasilia.JPG","-15.7839004,-47.9008647"
5,Arena Castelao,Fortaleza,67037,"x","fortaleza_arena.jpg","-3.8040344,-38.52228969999999"
6,Itaipava Arena Fonte Nova,Salvador,56000,"x","itaipava_arena.jpg","-12.9770909,-38.5038581"
7,Estadio Beira-Rio,Porto Alegre,51300,"","beira_rio_internacional.jpg","-30.0645586,-51.232599300000004"
8,Arena Pernambuco,Recife,46154,"","itaipava_arena_pernambuco.jpg","-8.0075658,-35.02218949999997"
9,Arena da Amazonia,Manaus,46000,"","arena_amazonia.jpg","-3.0836654,-60.027918399999976"
10,Arena Pantanal,Cuiaba,43500,"","arena_pantanal.jpg","-15.6014109,-56.09789169999999"
11,Arena das Dunas,Natal,45000,"","dunes_arena.jpg","-5.8268059,-35.21242080000002"
12,Arena da Baixada,Curitiba,28413,"","vista_da_basilio_itibere.jpg","-25.4478733,-49.27589929999999"


TABLE fixture
fixture.fixture_id,fixture.game_number,fixture.team1,fixture.team2,fixture.date_time,fixture.venue,fixture.referee,fixture.stage,fixture.team1_gen_matches,fixture.team2_gen_matches,fixture.team1_definition,fixture.team2_definition
1,1,1,2,2014-06-12 17:00:00,2,x,"Group",||,||,"","",
2,2,3,4,2014-06-13 13:00:00,11,x,"Group",||,||,"","",
3,17,1,3,2014-06-17 16:00:00,5,x,"Group",||,||,"","",
4,18,4,2,2014-06-18 18:00:00,9,x,"Group",||,||,"","",
5,33,4,1,2014-06-23 17:00:00,4,x,"Group",||,||,"","",
6,34,2,3,2014-06-23 17:00:00,8,x,"Group",||,||,"","",
7,3,5,6,2014-06-13 16:00:00,6,x,"Group",||,||,"","",
8,4,7,8,2014-06-13 18:00:00,10,x,"Group",||,||,"","",
9,19,5,7,2014-06-18 16:00:00,1,x,"Group",||,||,"","",
10,20,8,6,2014-06-18 13:00:00,7,x,"Group",||,||,"","",
11,35,8,5,2014-06-23 13:00:00,12,x,"Group",||,||,"","",
12,36,6,7,2014-06-23 13:00:00,2,x,"Group",||,||,"","",
13,5,9,10,2014-06-14 13:00:00,3,x,"Group",||,||,"","",
14,6,11,12,2014-06-14 22:00:00,8,x,"Group",||,||,"","",
15,21,9,11,2014-06-19 13:00:00,4,x,"Group",||,||,"","",
16,22,12,10,2014-06-19 19:00:00,11,x,"Group",||,||,"","",
17,37,12,9,2014-06-24 16:00:00,10,x,"Group",||,||,"","",
18,38,10,11,2014-06-24 22:00:00,5,x,"Group",||,||,"","",
19,7,13,14,2014-06-14 16:00:00,5,x,"Group",||,||,"","",
20,8,15,16,2014-06-14 18:00:00,9,x,"Group",||,||,"","",
21,23,13,15,2014-06-19 16:00:00,2,x,"Group",||,||,"","",
22,24,16,14,2014-06-20 13:00:00,8,x,"Group",||,||,"","",
23,39,16,13,2014-06-24 13:00:00,11,x,"Group",||,||,"","",
24,40,14,15,2014-06-24 13:00:00,3,x,"Group",||,||,"","",
25,9,17,18,2014-06-15 13:00:00,4,x,"Group",||,||,"","",
26,10,19,20,2014-06-15 16:00:00,7,x,"Group",||,||,"","",
27,25,17,19,2014-06-20 16:00:00,6,x,"Group",||,||,"","",
28,26,20,18,2014-06-20 19:00:00,12,x,"Group",||,||,"","",
29,41,20,17,2014-06-25 16:00:00,9,x,"Group",||,||,"","",
30,42,18,19,2014-06-25 17:00:00,1,x,"Group",||,||,"","",
31,11,21,22,2014-06-15 19:00:00,1,x,"Group",||,||,"","",
32,12,23,24,2014-06-16 16:00:00,12,x,"Group",||,||,"","",
33,27,21,23,2014-06-21 13:00:00,3,x,"Group",||,||,"","",
34,28,24,22,2014-06-21 18:00:00,10,x,"Group",||,||,"","",
35,43,24,21,2014-06-25 13:00:00,7,x,"Group",||,||,"","",
36,44,22,23,2014-06-25 13:00:00,6,x,"Group",||,||,"","",
37,13,25,26,2014-06-16 13:00:00,6,x,"Group",||,||,"","",
38,14,27,28,2014-06-16 19:00:00,11,x,"Group",||,||,"","",
39,29,25,27,2014-06-21 16:00:00,5,x,"Group",||,||,"","",
40,30,28,26,2014-06-22 18:00:00,9,x,"Group",||,||,"","",
41,45,28,25,2014-06-26 13:00:00,8,x,"Group",||,||,"","",
42,46,26,27,2014-06-26 13:00:00,4,x,"Group",||,||,"","",
43,15,29,30,2014-06-17 13:00:00,3,x,"Group",||,||,"","",
44,16,31,32,2014-06-17 18:00:00,10,x,"Group",||,||,"","",
45,31,29,31,2014-06-22 13:00:00,1,x,"Group",||,||,"","",
46,32,32,30,2014-06-22 16:00:00,7,x,"Group",||,||,"","",
47,47,32,29,2014-06-26 17:00:00,2,x,"Group",||,||,"","",
48,48,30,31,2014-06-26 22:00:00,12,x,"Group",||,||,"","",
49,49,-1,-1,2014-06-28 13:00:00,3,x,"IP",|1|2|3|4|5|6|,|7|8|9|10|11|12|,"1A","2B",
50,50,-1,-1,2014-06-28 17:00:00,1,x,"IP",|13|14|15|16|17|18|,|19|20|21|22|23|24|,"1C","2D",
51,51,-1,-1,2014-06-29 13:00:00,5,x,"IP",|7|8|9|10|11|12|,|1|2|3|4|5|6|,"1B","2A",
52,52,-1,-1,2014-06-29 17:00:00,8,x,"IP",|19|20|21|22|23|24|,|13|14|15|16|17|18|,"1D","2C",
53,53,-1,-1,2014-06-30 13:00:00,4,x,"IP",|25|26|27|28|29|30|,|31|32|33|34|35|36|,"1E","2F",
