fixture.fixture_id,fixture.game_number,fixture.team1,fixture.team2,fixture.date_time,fixture.venue,fixture.referee,fixture.stage,fixture.team1_gen_matches,fixture.team2_gen_matches,fixture.team1_definition,fixture.team2_definition
1,1,1,2,2014-06-12 17:00:00,2,x,"Group",||,||,"","",
2,2,3,4,2014-06-13 13:00:00,11,x,"Group",||,||,"","",
3,17,1,3,2014-06-17 16:00:00,5,x,"Group",||,||,"","",
4,18,4,2,2014-06-18 18:00:00,9,x,"Group",||,||,"","",
5,33,4,1,2014-06-23 17:00:00,4,x,"Group",||,||,"","",
6,34,2,3,2014-06-23 17:00:00,8,x,"Group",||,||,"","",
7,3,5,6,2014-06-13 16:00:00,6,x,"Group",||,||,"","",
8,4,7,8,2014-06-13 18:00:00,10,x,"Group",||,||,"","",
9,19,5,7,2014-06-18 16:00:00,1,x,"Group",||,||,"","",
10,20,8,6,2014-06-18 13:00:00,7,x,"Group",||,||,"","",
11,35,8,5,2014-06-23 13:00:00,12,x,"Group",||,||,"","",
12,36,6,7,2014-06-23 13:00:00,2,x,"Group",||,||,"","",
13,5,9,10,2014-06-14 13:00:00,3,x,"Group",||,||,"","",
14,6,11,12,2014-06-14 22:00:00,8,x,"Group",||,||,"","",
15,21,9,11,2014-06-19 13:00:00,4,x,"Group",||,||,"","",
16,22,12,10,2014-06-19 19:00:00,11,x,"Group",||,||,"","",
17,37,12,9,2014-06-24 16:00:00,10,x,"Group",||,||,"","",
18,38,10,11,2014-06-24 22:00:00,5,x,"Group",||,||,"","",
19,7,13,14,2014-06-14 16:00:00,5,x,"Group",||,||,"","",
20,8,15,16,2014-06-14 18:00:00,9,x,"Group",||,||,"","",
21,23,13,15,2014-06-19 16:00:00,2,x,"Group",||,||,"","",
22,24,16,14,2014-06-20 13:00:00,8,x,"Group",||,||,"","",
23,39,16,13,2014-06-24 13:00:00,11,x,"Group",||,||,"","",
24,40,14,15,2014-06-24 13:00:00,3,x,"Group",||,||,"","",
25,9,17,18,2014-06-15 13:00:00,4,x,"Group",||,||,"","",
26,10,19,20,2014-06-15 16:00:00,7,x,"Group",||,||,"","",
27,25,17,19,2014-06-20 16:00:00,6,x,"Group",||,||,"","",
28,26,20,18,2014-06-20 19:00:00,12,x,"Group",||,||,"","",
29,41,20,17,2014-06-25 16:00:00,9,x,"Group",||,||,"","",
30,42,18,19,2014-06-25 17:00:00,1,x,"Group",||,||,"","",
31,11,21,22,2014-06-15 19:00:00,1,x,"Group",||,||,"","",
32,12,23,24,2014-06-16 16:00:00,12,x,"Group",||,||,"","",
33,27,21,23,2014-06-21 13:00:00,3,x,"Group",||,||,"","",
34,28,24,22,2014-06-21 18:00:00,10,x,"Group",||,||,"","",
35,43,24,21,2014-06-25 13:00:00,7,x,"Group",||,||,"","",
36,44,22,23,2014-06-25 13:00:00,6,x,"Group",||,||,"","",
37,13,25,26,2014-06-16 13:00:00,6,x,"Group",||,||,"","",
38,14,27,28,2014-06-16 19:00:00,11,x,"Group",||,||,"","",
39,29,25,27,2014-06-21 16:00:00,5,x,"Group",||,||,"","",
40,30,28,26,2014-06-22 18:00:00,9,x,"Group",||,||,"","",
41,45,28,25,2014-06-26 13:00:00,8,x,"Group",||,||,"","",
42,46,26,27,2014-06-26 13:00:00,4,x,"Group",||,||,"","",
43,15,29,30,2014-06-17 13:00:00,3,x,"Group",||,||,"","",
44,16,31,32,2014-06-17 18:00:00,10,x,"Group",||,||,"","",
45,31,29,31,2014-06-22 13:00:00,1,x,"Group",||,||,"","",
46,32,32,30,2014-06-22 16:00:00,7,x,"Group",||,||,"","",
47,47,32,29,2014-06-26 17:00:00,2,x,"Group",||,||,"","",
48,48,30,31,2014-06-26 22:00:00,12,x,"Group",||,||,"","",
49,49,33,36,2014-06-28 13:00:00,3,x,"IP",|1|2|3|4|5|6|,|7|8|9|10|11|12|,"1A","2B",
50,50,37,40,2014-06-28 17:00:00,1,x,"IP",|13|14|15|16|17|18|,|19|20|21|22|23|24|,"1C","2D",
51,51,35,34,2014-06-29 13:00:00,5,x,"IP",|7|8|9|10|11|12|,|1|2|3|4|5|6|,"1B","2A",
52,52,39,38,2014-06-29 17:00:00,8,x,"IP",|19|20|21|22|23|24|,|13|14|15|16|17|18|,"1D","2C",
53,53,41,44,2014-06-30 13:00:00,4,x,"IP",|25|26|27|28|29|30|,|31|32|33|34|35|36|,"1E","2F",
54,54,45,48,2014-06-30 17:00:00,7,x,"IP",|37|38|39|40|41|42|,|43|44|45|46|47|48|,"1G","2H",
55,55,43,42,2014-07-01 13:00:00,2,x,"IP",|31|32|33|34|35|36|,|25|26|27|28|29|30|,"1F","2E",
56,56,47,46,2014-07-01 17:00:00,6,x,"IP",|43|44|45|46|47|48|,|37|38|39|40|41|42|,"1H","2G",
57,57,49,50,2014-07-04 17:00:00,5,x,"JQ",|49|,|50|,"W49","W50",
58,58,53,54,2014-07-04 13:00:00,1,x,"JQ",|53|,|54|,"W53","W54",
59,59,51,52,2014-07-05 17:00:00,6,x,"JQ",|51|,|52|,"W51","W52",
60,60,55,56,2014-07-05 13:00:00,4,x,"JQ",|55|,|56|,"W55","W56",
61,61,57,58,2014-07-08 17:00:00,3,x,"KS",|57|,|58|,"W57","W58",
62,62,59,60,2014-07-09 17:00:00,2,x,"KS",|59|,|60|,"W59","W60",
63,63,61,62,2014-07-12 17:00:00,4,x,"L",|61|,|62|,"L61","L62",
64,64,63,64,2014-07-13 16:00:00,1,x,"MFN",|61|,|62|,"W61","W62",
