team_group.group_id,team_group.name,team_group.team_id
1,A,1
2,A,2
3,A,3
4,A,4
5,B,5
6,B,6
7,B,7
8,B,8
9,C,9
10,C,10
11,C,11
12,C,12
13,D,13
14,D,14
15,D,15
16,D,16
17,E,17
18,E,18
19,E,19
20,E,20
21,F,21
22,F,22
23,F,23
24,F,24
25,G,25
26,G,26
27,G,27
28,G,28
29,H,29
30,H,30
31,H,31
32,H,32
33,IP,33
34,IP,34
35,IP,35
36,IP,36
37,IP,37
38,IP,38
39,IP,39
40,IP,40
41,IP,41
42,IP,42
43,IP,43
44,IP,44
45,IP,45
46,IP,46
47,IP,47
48,IP,48
49,JQ,49
50,JQ,50
51,JQ,51
52,JQ,52
53,JQ,53
54,JQ,54
55,JQ,55
56,JQ,56
57,KS,57
58,KS,58
59,KS,59
60,KS,60
61,L,61
62,L,62
63,MFN,63
64,MFN,64
